Title,Category,Status,Notes
Divinely,Official / Semi-Finished,Finished/Semi,Core early track
Chalk Outline,Official / Semi-Finished,Finished/Semi,Released / live mentions
Groundwork,Official / Semi-Finished,Finished/Semi,Shout-out / collab vibe
Warpath (feat. Fonz G Dollas),Official / Semi-Finished,Finished/Semi,Collab single
Ride,Official / Semi-Finished,Finished/Semi,Theme of momentum
Anatomy of a Comeback (D‑Mix),Official / Semi-Finished,Finished/Semi,Finalized D‑Mix structure
Ight,Official / Semi-Finished,Finished/Semi,"Personal, raw, spiritual"
Un Hexagonal,Official / Semi-Finished,Finished/Semi,Cinematic project song
Let Me Reintroduce My Frequency,Official / Semi-Finished,Finished/Semi,Trapfirmations intro
This Frequency Don’t Die,Official / Semi-Finished,Finished/Semi,Trapfirmations outro
Glistening,Official / Semi-Finished,Draft/Working,User-called out as missing
X‑Ho,Holiday / Concept,Draft/Working,Holiday piece
Merry X‑mas,Holiday / Concept,Draft/Working,Holiday chant/track
Caught Me,Official / Semi-Finished,Draft/Working,User-called out as missing
Ride Around With a Pound,Official / Semi-Finished,Draft/Working,Recent freestyle → song
Trapfirmations (Main Theme),Trapfirmations / Affirmational,Series,Multiple affirmational cuts
Hakuna MaChakra,Trapfirmations / Affirmational,Concept,Aires + Koidon design tie‑in
Positive Spoken‑Word Trap Pieces,Trapfirmations / Affirmational,Series,Multiple drops
Trapfirmations Crown Theme,Trapfirmations / Affirmational,Concept,Logo + affirmation tie‑in
Is You Trolling / Bitch I’m Biting,Aggressive / Diss / Dark,Draft/Series,Multiple versions
Brutal Diss Track Drafts,Aggressive / Diss / Dark,Series,Layered punchlines
Anti‑Christmas Chant,Aggressive / Diss / Dark,Draft/Working,Holiday counterpiece
Down South Georgia Fool,Aggressive / Diss / Dark,Freestyle,NASCAR / Georgia bars
Armory (Coin),Aggressive / Diss / Dark,Freestyle,"“It’s‑a‑me, I’m armory” coin bars"
Repo Man Tombstone Freestyle,Aggressive / Diss / Dark,Freestyle,Graveyard / worm / half skull
Spiral Daddy (mythos pieces),Surreal / Narrative / Conceptual,Series,Mythos tracks
Nuttin Into Nuthin (Series),Surreal / Narrative / Conceptual,Series,Reality reset narrative
Hum,Surreal / Narrative / Conceptual,Finished/Semi,Cinematic spoken‑word
Starborn Union,Surreal / Narrative / Conceptual,Series,Cinematic Suno audio story
Toilet of Truth – Booty Scrolls: When Duty Calls,Surreal / Narrative / Conceptual,Track,Comedy mini‑EP segment
Toilet Alchemy,Surreal / Narrative / Conceptual,Track,Shitty Music series
Shitty Music (collection),Surreal / Narrative / Conceptual,Series,Toilet freestyles
Apocalypse Freestyles,Surreal / Narrative / Conceptual,Series,End‑of‑world style drafts
Picnic / Camp Freestyle,Surreal / Narrative / Conceptual,Freestyle,Fat cat / butterfly / tent / biscuit bar
Drip Drip Drip,Surreal / Narrative / Conceptual,Track,Plumbing / water imagery
Beat Off,Surreal / Narrative / Conceptual,Track,Early absurd concept
The Vibrator,Surreal / Narrative / Conceptual,Concept,Frequency/energy project
Frequency Factory,Surreal / Narrative / Conceptual,Concept/Track,Recent concept for new song
Apathy (No Apathy),Surreal / Narrative / Conceptual,Draft/Working,“Word of the day is apathy” piece
Biter‑Man (Theme Material),Comic / Character‑Based,Series,Character themes
Rubbin (Forbidden Love Arc),Comic / Character‑Based,Series,With Titty Man arc
SPASESEX (Quency Nova),Comic / Character‑Based,Series,Quency Nova lead
Cosmistics Kids Themes,Comic / Character‑Based,Series,"Frequency Funhouse, Affirmation Station"
Hour Time,Other / Brand & Meta,Track,Part of artist identity
Omni (Crown Piece Concept),Other / Brand & Meta,Concept,The future ‘one‑song’
Slap Certified,Other / Brand & Meta,Concept/Stamp,Brand seal; potential track
Edited by Daddy Frequency,Other / Brand & Meta,Meta,Meta tag; potential interlude
Daddy Frequency / Frequency Daddy,Other / Brand & Meta,Brand/Theme,Brand motif; recurring hook idea
